alpha_error_original_definition,analysis_nrmse,case,device,forecast_coverage_90,forecast_crps,forecast_interval_width_90,forecast_nrmse,runtime_seconds,seed_index,variant
0.08812329141029096,0.023741677979588326,kse,cuda:2,0.2541876324152542,0.12483032298657949,0.12066402955711542,0.2339701266175955,10.872686824994162,1,apce_short_window_L2
0.1072491229679029,0.023736366563612138,kse,cuda:3,0.2541876324152542,0.12483032298660322,0.12066402955711385,0.24369027204176907,10.492499844869599,1,apce_short_window_L4
0.027728153134757516,0.011665763739428162,kse,cuda:2,0.761619438559322,0.012977739294845567,0.052543008054442515,0.013946355921870596,10.753216828918085,2,apce_short_window_L1
0.005420275420985554,0.011497993765232218,kse,cuda:3,0.695362155720339,0.014666694509954135,0.052677090896306705,0.015145450895286943,10.464544113026932,2,apce_short_window_L2
0.004179778919326083,0.011339216025253816,kse,cuda:2,0.695362155720339,0.014666778938360086,0.052677099707921636,0.015289680883172565,10.732437623897567,2,apce_short_window_L4
0.019687045833788552,0.3451067460209428,kse,cuda:2,0.2795286016949153,0.6482366677313212,0.8509858500158828,0.7792467987554778,1.6313683718908578,3,aug
0.09999999999999987,0.23769551281487122,kse,cuda:3,0.2145789194915254,0.4971844207223867,0.46855825248147975,0.6296696257819124,16.330924295820296,3,bma
0.021641313899474657,0.2326494841623084,kse,cuda:2,0.3248146186440678,0.495646182892477,0.5961501455707507,0.7020809927777663,32.21987565397285,3,gate21
0.09207172643392303,0.2612621847156124,kse,cuda:3,0.3229773569915254,0.4696258296021628,0.5662200164179229,0.6354921290830681,17.008670695126057,3,gate_local
0.10000000000000009,0.25374573293761565,kse,cuda:3,0.3258739406779661,0.48803681597209114,0.6556916898969537,0.6593143101299644,31.29663461400196,3,grid21
0.10000000000000009,0.38691676970294075,kse,cuda:3,0.14472987288135594,0.8860320814530299,0.4332984940414117,0.9808497898192744,31.72592400899157,3,joint21
0.05485807145086574,0.2929157182180222,kse,cuda:2,0.3804455773305085,0.3414632148871352,0.5843527611137693,0.4972141616792732,17.757120459107682,3,joint_local
0.10000000000000009,0.2754310283676342,kse,cuda:3,0.2890625,0.59297808878638,0.7691455278298562,0.7628828616702222,31.28148381295614,3,locked21
0.10000000000000009,0.2730215902086732,kse,cuda:2,0.2738347457627119,0.6361241232422944,0.5712127314263268,0.7916213549428299,17.48347066086717,3,locked_local
0.10000000000000009,0.2626043480034839,kse,cuda:2,0.3048530190677966,0.5386624095511318,0.5759361998220192,0.7059951009342151,17.486814176896587,3,native
0.10000000000000009,0.2697434912047271,kse,cuda:2,0.22374867584745764,0.6316545345230591,0.644326444953143,0.791609346151865,32.199552232865244,3,snr21
0.10000000000000009,0.3699001198702765,kse,cuda:3,0.15861692266949154,0.8319246305249757,0.5104685654086107,0.9380750861668343,10.555083465995267,3,apce_short_window_L1
0.10000000000000009,0.3143704091338603,kse,cuda:2,0.1945842161016949,0.7866830034825788,0.7174120009101236,0.9219051200952794,10.83153432700783,3,apce_short_window_L2
0.10000000000000009,0.31087826078928166,kse,cuda:3,0.1945842161016949,0.7866830034828206,0.7174120009099741,0.9219051200955655,10.595373579999432,3,apce_short_window_L4
0.22738558291084132,0.02568705313475093,kse,cuda:2,0.2911976959745763,0.10558929441099313,0.10351672487499457,0.13742284428366836,10.841246164869517,4,apce_short_window_L1
0.21895454193285824,0.02581538858705771,kse,cuda:3,0.2322894597457627,0.13479330899183714,0.09885896247324603,0.16552499750948416,10.729801690904424,4,apce_short_window_L2
0.18221887567213058,0.026319875992667146,kse,cuda:2,0.16060315148305085,0.18152855699929152,0.0925128254473453,0.1842892281858366,10.838296787813306,4,apce_short_window_L4
0.10000000000000009,0.46092186901029764,kse,cuda:3,0.10379700741525423,1.1237620974024463,0.44943383521373603,1.071153087307815,1.4644848010502756,6,aug
0.09999999999999987,0.18715738292476697,kse,cuda:2,0.17462261652542374,0.737961551646005,0.4348011646042459,0.807563067318568,16.54873269307427,6,bma
0.009857945165937743,0.16872764486589803,kse,cuda:3,0.3283898305084746,0.39914088387716207,0.5933905307408573,0.438553327762647,31.219129177974537,6,gate21
0.017214971679319513,0.16932974858979444,kse,cuda:2,0.3985533633474576,0.27118650968638547,0.6014972855639396,0.3834555662291166,17.551258808001876,6,gate_local
0.024127699731910646,0.16536126338920515,kse,cuda:2,0.3879766949152542,0.3438409091970375,0.6378104786317195,0.4550839872511175,32.14496907382272,6,grid21
0.06372895981487914,0.16781808460144954,kse,cuda:2,0.4285950741525424,0.35785058484577636,0.6962790186141746,0.4475943371751063,32.19416353618726,6,joint21
